296,   345,   -845,   -2483,   -837,   -1456,   -390,   -642,   -472,   712,   -238,   -41,   -2867,   -163,   -1687,   -315,   139,   873,   -209,   -107,   -351,   236,   268,   243,   
-414,   232,   -1265,   -2453,   -900,   -1186,   -509,   -568,   -740,   705,   -211,   -86,   -2027,   -869,   -1682,   234,   103,   1698,   -148,   128,   -730,   253,   -66,   -250,   
-763,   -358,   -1937,   -1960,   -1177,   -549,   -374,   -288,   -993,   864,   -201,   -225,   -1135,   -1535,   -1655,   616,   231,   1891,   -66,   37,   -852,   -88,   -66,   -483,   
-1013,   -795,   -2494,   -1836,   -809,   371,   -450,   -516,   -1263,   887,   -323,   -527,   -356,   -1760,   -935,   571,   611,   1573,   58,   -4,   -655,   -373,   214,   -360,   
-1107,   -1444,   -2713,   -1867,   -536,   602,   -519,   -612,   -1489,   488,   -281,   -546,   -73,   -1409,   -219,   203,   765,   630,   -188,   -131,   -412,   -720,   532,   -346,   
-776,   -1866,   -2280,   -1643,   -303,   598,   -349,   -413,   -1475,   333,   151,   -466,   401,   -800,   -125,   148,   699,   -129,   -444,   206,   46,   -836,   725,   -315,   
-992,   -1936,   -2373,   -1751,   -282,   283,   -707,   -536,   -1505,   60,   360,   -775,   820,   -391,   -416,   79,   642,   -276,   -505,   202,   339,   -526,   417,   -346,   
-469,   -1749,   -2852,   -1672,   113,   336,   -1022,   -245,   -1185,   -153,   444,   -886,   810,   -297,   -637,   -219,   711,   -276,   -477,   26,   365,   -175,   -241,   -192,   
-30,   -2090,   -3052,   -1734,   219,   318,   -941,   -392,   -1125,   -59,   199,   -855,   799,   -154,   -474,   -120,   766,   -63,   -98,   175,   360,   186,   -562,   224,   
-42,   -2235,   -2896,   -1981,   513,   166,   -948,   -446,   -1117,   130,   -130,   -715,   405,   141,   -366,   -45,   435,   36,   -26,   158,   392,   63,   -478,   365,   
-7,   -1925,   -3062,   -1777,   668,   273,   -891,   -172,   -998,   198,   -197,   -524,   358,   397,   -586,   46,   276,   13,   -226,   345,   487,   -243,   -292,   304,   
128,   -1620,   -3396,   -1719,   542,   413,   -1086,   -118,   -660,   -187,   -75,   -503,   546,   322,   -579,   3,   209,   144,   -179,   225,   694,   -205,   -431,   444,   
423,   -1802,   -3682,   -1796,   619,   214,   -1211,   -38,   -623,   -265,   -267,   -504,   715,   73,   -682,   -129,   157,   115,   -81,   -108,   655,   -33,   -781,   414,   
562,   -1813,   -3455,   -1967,   851,   412,   -1057,   -175,   -263,   54,   -742,   -59,   1242,   173,   -813,   287,   225,   228,   293,   100,   392,   240,   -668,   271,   
849,   -1718,   -4056,   -1847,   750,   447,   -1028,   -306,   -214,   28,   -1036,   -125,   996,   265,   -782,   452,   -50,   226,   633,   153,   39,   104,   -197,   -256,   
1778,   -1402,   -4429,   -1263,   815,   639,   -737,   166,   -276,   27,   -693,   -286,   399,   348,   -361,   124,   -125,   70,   693,   164,   -206,   -197,   228,   -749,   
1310,   -1609,   -4369,   -1469,   561,   440,   -421,   22,   -557,   -95,   -588,   -775,   -212,   467,   389,   -558,   -177,   172,   607,   -162,   87,   -79,   95,   -750,   
931,   -1345,   -3841,   -1969,   757,   521,   -320,   -93,   -401,   -181,   -624,   -858,   -243,   462,   671,   -851,   -474,   61,   396,   -356,   466,   107,   -181,   -593,   
954,   -1045,   -3766,   -2332,   513,   764,   -325,   -420,   -21,   13,   -927,   -965,   554,   589,   298,   -269,   -661,   10,   73,   -48,   1014,   38,   -159,   -247,   
1591,   -991,   -3724,   -2109,   128,   569,   -191,   -148,   156,   134,   -796,   -1081,   914,   453,   -232,   225,   -751,   -151,   -53,   403,   1016,   63,   -74,   -12,   
1812,   -902,   -3980,   -1803,   -116,   432,   -376,   -23,   686,   -195,   -741,   -1034,   577,   234,   -296,   181,   -519,   -204,   -93,   629,   800,   44,   2,   15,   
1874,   -737,   -4082,   -1896,   -55,   460,   -374,   313,   770,   18,   -829,   -842,   92,   166,   -51,   -46,   -390,   100,   -17,   294,   536,   213,   51,   -262,   
1679,   -821,   -4031,   -2167,   -174,   512,   -373,   293,   873,   138,   -907,   -1061,   -210,   349,   300,   -194,   -354,   115,   490,   -156,   114,   596,   95,   -585,   
1796,   -782,   -3775,   -1997,   -428,   679,   -219,   136,   867,   288,   -636,   -1461,   -208,   391,   440,   -115,   -254,   0,   609,   -392,   -92,   422,   367,   -553,   
1535,   -356,   -3683,   -2044,   -461,   496,   282,   -169,   809,   564,   -695,   -1602,   -112,   477,   430,   -290,   63,   -109,   272,   -189,   -232,   78,   577,   -60,   
1633,   -383,   -3595,   -2130,   -293,   469,   213,   -44,   663,   438,   -384,   -1401,   -43,   724,   396,   -810,   290,   15,   -209,   101,   -159,   -145,   448,   234,   
1592,   -304,   -3475,   -2536,   -147,   453,   -181,   99,   626,   181,   -167,   -1182,   90,   707,   188,   -879,   200,   318,   -442,   480,   -7,   -185,   465,   111,   
1703,   279,   -3285,   -2966,   -149,   723,   -301,   154,   720,   261,   -228,   -1320,   -145,   632,   82,   -503,   -271,   585,   -210,   257,   320,   186,   30,   15,   
1636,   374,   -3556,   -2945,   -232,   847,   -125,   452,   770,   374,   -75,   -1475,   -69,   461,   146,   28,   -789,   682,   25,   -33,   563,   24,   43,   129,   
1393,   226,   -3431,   -2680,   -658,   1150,   -130,   165,   1071,   621,   -385,   -1231,   -249,   -124,   240,   496,   -734,   62,   18,   -498,   763,   -487,   42,   612,   
1643,   415,   -3182,   -2636,   -1076,   1263,   -228,   44,   1296,   37,   -23,   -1032,   -441,   -481,   720,   521,   -346,   -225,   -75,   -539,   627,   -645,   221,   898,   
1326,   72,   -3111,   -2376,   -829,   608,   -222,   -390,   1602,   -302,   -190,   -623,   -1266,   -397,   1444,   46,   -15,   3,   -276,   155,   120,   -602,   385,   973,   
1007,   -271,   -2636,   -2315,   -666,   780,   -192,   -79,   1445,   -132,   159,   -431,   -2423,   -193,   2031,   -51,   -104,   643,   -172,   434,   260,   -395,   196,   754,   
-189,   -27,   -1538,   -2771,   -886,   1397,   -562,   460,   1177,   -198,   102,   -72,   -2782,   18,   2526,   209,   -111,   1274,   -105,   402,   95,   -605,   138,   335,   
-1235,   174,   -922,   -2516,   -1204,   1833,   -316,   271,   1899,   -608,   125,   -176,   -2258,   -150,   2382,   838,   278,   1096,   -542,   12,   -25,   -972,   -29,   64,   
-1727,   -123,   -178,   -1962,   -727,   1993,   -318,   38,   1518,   -972,   35,   -247,   -1749,   97,   1892,   1067,   624,   369,   -428,   -44,   -377,   -1167,   68,   -60,   
-1612,   -448,   257,   -1462,   -328,   2126,   -1128,   151,   1236,   -1203,   149,   -247,   -1479,   712,   1106,   916,   811,   -382,   -398,   151,   -915,   -881,   381,   -69,   
-2624,   430,   711,   -1697,   -388,   1804,   -798,   454,   943,   -1651,   193,   -127,   -1480,   1444,   198,   998,   233,   -821,   -108,   -14,   -422,   -327,   487,   -4,   
-3006,   966,   293,   -1274,   -157,   1354,   -674,   290,   814,   -1590,   618,   -340,   -1408,   1522,   -336,   1351,   -445,   -647,   195,   -502,   6,   224,   291,   190,   
-3250,   1336,   101,   -559,   -463,   1147,   -707,   -53,   1095,   -1269,   532,   -207,   -574,   839,   -621,   1552,   -540,   -238,   -210,   -562,   144,   550,   189,   206,   
-3412,   1382,   57,   -4,   -959,   1483,   -880,   -349,   1170,   -1057,   417,   78,   251,   177,   -312,   1060,   -481,   -61,   -146,   -358,   95,   429,   -66,   315,   
