-624,   3101,   -618,   -1948,   -1859,   -974,   -1003,   -685,   405,   4,   -189,   -327,   -405,   -184,   -506,   1379,   -165,   -889,   1172,   183,   -579,   -668,   255,   -6,   
-803,   2637,   -1251,   -1750,   -1896,   -1269,   -505,   -850,   133,   -546,   -459,   -514,   -300,   -709,   -1237,   557,   43,   -599,   872,   28,   -472,   -723,   -211,   -109,   
-734,   2578,   -1629,   -2007,   -1794,   -1221,   31,   -585,   1,   -701,   -483,   -502,   523,   -1328,   -1179,   -476,   166,   -314,   647,   225,   -45,   -552,   -448,   -207,   
-610,   1960,   -1964,   -2272,   -1822,   -1261,   -190,   -564,   169,   -764,   -737,   -479,   1014,   -1363,   -1075,   -749,   132,   -434,   112,   -45,   -11,   -171,   -371,   -220,   
64,   1447,   -2030,   -2402,   -1646,   -1449,   -189,   -490,   319,   -716,   -722,   -656,   1085,   -1307,   -776,   -381,   179,   -261,   -86,   -464,   -122,   29,   -245,   -63,   
320,   1157,   -2664,   -2677,   -1771,   -1806,   -227,   -965,   -43,   -795,   -896,   -768,   856,   -1078,   -469,   -260,   456,   -30,   23,   -554,   -525,   98,   -263,   224,   
429,   1019,   -2443,   -2376,   -1550,   -1341,   -80,   -1081,   -76,   -642,   -772,   -452,   615,   -830,   -3,   -347,   800,   392,   165,   -189,   -559,   -122,   -306,   736,   
492,   557,   -2462,   -2676,   -1185,   -1361,   -210,   -1100,   -421,   -653,   -1107,   -244,   325,   -603,   411,   -382,   1142,   454,   580,   463,   -439,   -370,   30,   696,   
901,   501,   -2136,   -2924,   -739,   -1083,   51,   -706,   -331,   -970,   -1076,   186,   -310,   -708,   75,   -425,   902,   87,   607,   645,   -592,   -416,   45,   18,   
572,   511,   -2201,   -2976,   -463,   -1253,   578,   -457,   -575,   -1186,   -698,   -43,   -1059,   -655,   -8,   -20,   383,   177,   361,   566,   -414,   -210,   110,   -621,   
-77,   -21,   -2461,   -2864,   -557,   -1264,   437,   -434,   -887,   -1000,   -908,   -525,   -1647,   -831,   -39,   240,   -37,   137,   -347,   -25,   -61,   -95,   -113,   -1206,   
-608,   -165,   -2312,   -2736,   -701,   -1004,   139,   -387,   -765,   -953,   -1025,   -820,   -1377,   -718,   427,   598,   259,   522,   -783,   -230,   515,   105,   -5,   -981,   
-980,   -408,   -2140,   -2684,   -676,   -1002,   -251,   -779,   -328,   -1229,   -1083,   -1235,   -1055,   -602,   614,   906,   444,   532,   -680,   -475,   660,   95,   392,   -616,   
-1043,   -373,   -1720,   -2168,   -15,   -601,   -253,   -630,   -81,   -914,   -618,   -1160,   -805,   -652,   657,   1024,   519,   535,   -332,   -619,   499,   287,   660,   -198,   
-1443,   -820,   -1835,   -1788,   -233,   -667,   -388,   -1026,   -239,   -876,   -523,   -1280,   -796,   -800,   608,   773,   349,   480,   -344,   -490,   70,   227,   691,   193,   
-1584,   -937,   -1478,   -1647,   -143,   -369,   -291,   -1193,   -60,   -698,   -315,   -1095,   -615,   -907,   582,   220,   -133,   334,   -716,   -485,   -376,   -93,   453,   253,   
-1904,   -1326,   -1349,   -1784,   -88,   -397,   -748,   -1233,   -233,   -996,   -197,   -977,   -109,   -438,   878,   86,   -80,   484,   -730,   -56,   -455,   -88,   366,   376,   
-1736,   -1481,   -1090,   -1840,   -288,   -235,   -1147,   -1255,   -649,   -994,   -101,   -931,   151,   141,   972,   400,   -436,   94,   -746,   93,   -231,   -213,   155,   248,   
-1531,   -1205,   -711,   -1562,   -281,   -8,   -1056,   -1080,   -628,   -860,   -80,   -798,   388,   685,   999,   682,   -587,   -277,   -498,   46,   149,   88,   35,   301,   
-1543,   -786,   -338,   -1158,   -701,   -422,   -1257,   -1130,   -209,   -1086,   -141,   -812,   297,   422,   467,   412,   -303,   -586,   -9,   290,   333,   26,   30,   362,   
-1418,   -646,   -226,   -1102,   -763,   -719,   -1440,   -1226,   -229,   -818,   -124,   -584,   156,   -314,   -70,   -77,   154,   -400,   238,   548,   227,   -19,   342,   278,   
-1346,   -1127,   -632,   -1452,   -502,   -759,   -969,   -747,   -348,   -975,   -33,   -494,   321,   -551,   -396,   -355,   575,   63,   387,   665,   40,   196,   637,   95,   
-1395,   -1506,   -670,   -1531,   -149,   -440,   -842,   -449,   -217,   -945,   379,   -539,   875,   172,   -742,   -488,   499,   250,   158,   279,   79,   242,   177,   -82,   
-1072,   -1183,   -711,   -1476,   -145,   -466,   -975,   -521,   -154,   -728,   564,   -692,   873,   1429,   -434,   -576,   318,   279,   -264,   -273,   367,   322,   -256,   350,   
-242,   -359,   -1300,   -1823,   -193,   -490,   -1199,   -920,   -207,   -578,   -156,   -609,   116,   1652,   294,   -466,   -140,   117,   -6,   -476,   278,   123,   -354,   688,   
-612,   443,   -969,   -2171,   -3,   -315,   -1187,   -921,   198,   -675,   -150,   67,   -929,   622,   497,   -452,   -398,   304,   381,   -263,   64,   -306,   -207,   577,   
-1451,   160,   -99,   -1883,   -430,   -340,   -746,   -964,   24,   -786,   205,   114,   -1411,   -348,   686,   -288,   -484,   447,   568,   70,   -45,   -450,   339,   209,   
-1862,   -509,   -565,   -2125,   -624,   -85,   -630,   -894,   -173,   -1083,   72,   -187,   -130,   -297,   395,   -545,   -689,   187,   335,   85,   -321,   -184,   225,   -444,   
-1734,   -405,   -472,   -2278,   -609,   66,   -625,   -828,   -89,   -1050,   242,   -168,   1096,   702,   251,   -673,   -577,   26,   202,   328,   -51,   201,   -210,   -242,   
-666,   279,   -190,   -2792,   -948,   -237,   -745,   -861,   -227,   -820,   170,   -459,   777,   1491,   1020,   -341,   -773,   -28,   534,   387,   146,   146,   -212,   377,   
-404,   820,   90,   -2559,   -1134,   -225,   -385,   -488,   -26,   -616,   -159,   -113,   -1289,   394,   1557,   447,   19,   97,   548,   -58,   224,   179,   -206,   682,   
-1361,   1116,   684,   -2497,   -1522,   18,   52,   -483,   15,   -1080,   -46,   352,   -3862,   -599,   1661,   1277,   919,   379,   790,   -104,   488,   391,   -248,   575,   
